"MLS","St","Status Date","P Type","Address","Municipality Township","City","Area","CDOM","Price","Bedrooms","Bth","Square Footage","Acres","Age","Listing Office ID"
"12026893","S","06/13/2012","RESI","6740 Bartmer Ave","University City","St Louis","4","3","$20,199","3","1 (1 0)","1,575","0.1300","93","RHSS01"
"11055268","S","04/13/2012","RESI","357 Scenic Dr","Riverview","St Louis","5","121","$8,000","2","1 (1 0)","972","0.1680","90","SLEC01"
"12009693","S","04/14/2012","RESI","1220 Congress Ave","Unincorporated","St Louis","5","5","$13,299","3","1 (1 0)","","0.1200","59","RHSS01"
"12003874","S","06/08/2012","RESI","7207 Jenwood Ave","Jennings","Jennings","16","254","$4,500","2","1 (1 0)","768","0.1150","65","HRLG01"
"12004273","S","04/26/2012","RESI","8514 Dianthus Lane","Jennings","Jennings","16","290","$4,800","2","1 (1 0)","840","0.1440","70","HRLG01"
"10036152","S","04/06/2012","RESI","7213 Jenwood Ave","Jennings","Jennings","16","622","$5,000","3","1 (1 0)","1,372","0.1150","84","SHAW"
"12026918","S","06/29/2012","RESI","5703 Hodiamont Ave","Jennings","St Louis","16","4","$5,026","2","1 (1 0)","728","0.1500","69","DPEV01"
"12023109","S","05/31/2012","RESI","5815 Hodiamont Ave","Jennings","St Louis","16","27","$6,000","2","1 (1 0)","868","0.1500","105","FOWL01"
"11058540","S","04/13/2012","RESI","5745 Janet Ave","Jennings","Jennings","16","88","$6,000","1","1 (1 0)","874","0.1100","82","PRUA05"
"11036459","S","04/09/2012","RESI","5805 Helen Ave","Jennings","Jennings","16","244","$6,000","2","1 (1 0)","726","0.0800","94","GHRE01"
"12003858","S","05/15/2012","RESI","5516 Hamilton","Jennings","Jennings","16","99","$6,500","2","1 (1 0)","784","0.1470","98","HRLG01"
"12000435","S","04/25/2012","RESI","5547 Hamilton Ave","Jennings","Jennings","16","264","$7,000","1","1 (1 0)","864","0.1030","92","CBG 06"
"12009042","S","05/15/2012","RESI","7307 Marge","Jennings","Jennings","16","67","$7,500","3","1 (1 0)","","","37","COHS01"
"12022354","S","05/08/2012","RESI","8340 College Ave","Jennings","St Louis","16","8","$8,000","2","1 (1 0)","894","0.0800","93","CBG 06"
"12018603","S","05/02/2012","RESI","10501 Baron Dr","Unincorporated","St Louis","16","14","$8,000","3","1 (1 0)","888","0.1700","59","ALXD01"
"12011179","S","04/25/2012","RESI","5425 Helen Ave","Jennings","St Louis","16","28","$8,000","4","4 (4 0)","","0.2200","88","SLEC13"
"12025863","S","06/29/2012","RESI","2526 Mary Ave","Jennings","St Louis","16","275","$8,100","2","1 (1 0)","720","0.2300","66","MCVY01"
"12025474","S","06/22/2012","RESI","8514 Octavia Ave","Jennings","St Louis","16","32","$11,000","2","1 (1 0)","1,176","0.3900","94","CBG 06"
"12016767","S","04/16/2012","RESI","8838 Tyrell","Jennings","St Louis","16","15","$11,000","2","1 (1 0)","","0.2400","78","RORG01"
"12025042","S","06/15/2012","RESI","2638 Hord Ave","Jennings","St Louis","16","6","$11,250","2","1 (1 0)","832","0.1100","80","PTRH01"
"12005194","S","04/20/2012","RESI","7038 THEODORE Ave","Jennings","Jennings","16","92","$11,500","3","1 (1 0)","896","0.1700","71","RMXP01"
"12033632","S","06/27/2012","RESI","7306 Marge Ave","Jennings","St Louis","16","5","$13,000","3","1 (1 0)","898","0.1200","58","SLEC01"
"12016279","S","05/11/2012","RESI","7100 Greenhaven Dr","Flordell Hills","St Louis","16","22","$13,100","2","1 (1 0)","1,128","0.1370","78","CBG 05"
"12016457","S","04/27/2012","RESI","7227 Emma Ave","Jennings","St Louis","16","28","$14,050","3","1 (1 0)","1,058","0.1100","73","FOWL01"
"12012112","S","04/20/2012","RESI","7505 Jenwood Ave","Country Club Hills","St Louis","16","4","$15,500","2","1 (1 0)","","","77","GLIR01"
"12017810","S","05/01/2012","RESI","8826 Shady Grove Ave","Jennings","St Louis","16","20","$15,800","2","1 (1 0)","1,022","0.1700","71","CBG 06"
"12012899","S","04/19/2012","RESI","8718 Clifton Ave","Jennings","St Louis","16","4","$16,126","2","1 (1 0)","1,270","0.1300","83","GLDR01"
"12017551","S","05/30/2012","RESI","7219 Jenwood Ave","Jennings","St Louis","16","58","$17,000","4","2 (2 0)","2,765","0.2300","62","FOWL01"
"12012308","S","04/19/2012","RESI","7459 Sharon Dr","Country Club Hills","St Louis","16","25","$17,000","2","1 (1 0)","792","0.1300","72","FOWL01"
"12031585","S","06/12/2012","RESI","8875 Sharidge Dr","Jennings","St Louis","16","20","$17,500","2","1 (1 0)","","","67","BBND01"
"12011518","S","05/25/2012","RESI","2565 Shirley Ave","Jennings","St Louis","16","36","$17,500","3","1 (1 0)","1,014","0.1320","58","REOX01"
"12011354","S","04/09/2012","RESI","2005 Riverwood","Jennings","St Louis","16","8","$17,550","2","1 (1 0)","1,200","0.1660","66","DNAR01"
"12005298","S","04/06/2012","RESI","8882 Saint Cyr","Jennings","St Louis","16","44","$19,900","3","1 (1 0)","","","1960","RNST01"
"11056577","S","06/08/2012","RESI","6360 Lena Ave","Jennings","Jennings","16","176","$20,000","2","1 (1 0)","1,087","0.1370","68","CBG 06"
"12006895","S","04/18/2012","RESI","2312 Shields Ave","Jennings","St Louis","16","55","$22,500","3","1 (1 0)","1,064","","59","KLFD"
"12021118","S","06/28/2012","RESI","2436 Center Ave","Jennings","St Louis","16","97","$22,900","2","1 (1 0)","900","0.2000","63","RNST01"
"11042849","S","04/11/2012","RESI","9251 Cottonwood Dr","Jennings","Unincorporated","16","233","$23,000","1","1 (1 0)","1,106","0.1720","63","RMXR04"
"12014340","S","05/02/2012","RESI","2425 Akins  Dr","Jennings","Jennings","16","457","$25,000","3","1 (1 0)","1,124","0.2400","82","ALPR01"
"12023050","S","05/25/2012","RESI","9200 Riverwood","Jennings","St Louis","16","14","$25,550","3","2 (1 1)","1,289","0.2300","70","OWAI01"
"11054654","S","05/18/2012","RESI","9260 Riverwood Dr","Jennings","Jennings","16","46","$28,000","3","3 (1 2)","1,163","0.2880","66","KWRC01"
"12003384","S","05/15/2012","RESI","9216 Glen Garden Dr","Jennings","St Louis","16","116","$32,125","3","1 (1 0)","1,269","0.2200","62","RMXR04"
"12016000","S","05/09/2012","RESI","9227 Cottonwood Dr","Jennings","St Louis","16","21","$40,000","3","1 (1 0)","1,175","0.1800","64","RNFK01"
"11004757","S","05/04/2012","RESI","2501 Switzer Ave","Jennings","St Louis","16","450","$42,000","2","1 (1 0)","808","0.1200","69","VATT01"
"12012343","S","04/05/2012","RESI","2711 Darla","Jennings","Jennings","16","50","$47,900","4","2 (2 0)","","","55","DWST01"
