"MLS","St","Status Date","P Type","Address","Municipality Township","City","Area","CDOM","Price","Bedrooms","Bth","Square Footage","Acres","Age","Listing Office ID"
"15031649","S","08/13/2015","RESI","907 Nana","Des Peres","St Louis","196","0","$200,400","3","2 (2 0)","","0.2100","59","KWRW01"
"15026400","S","07/10/2015","RESI","1013 Dorchester Ave","Kirkwood","St Louis","196","35","$202,500","3","2 (2 0)","1,592","0.2010","58","CBG 07"
"15041120","S","08/25/2015","RESI","421 South Clay Ave","Kirkwood","Kirkwood","196","5","$203,000","3","2 (2 0)","1,500","0.1720","95","BHSP04"
"15030720","S","07/27/2015","RESI","521 Nirk Ave","Kirkwood","Kirkwood","196","7","$204,500","3","2 (2 0)","1,435","0.3520","70","RESL01"
"15021489","S","07/08/2015","RESI","1718 Virginia Lane","Kirkwood","St Louis","196","49","$206,000","5","2 (2 0)","1,800","0.2940","77","MADA01"
"15030393","S","07/17/2015","RESI","532 South Ballas","Kirkwood","St Louis","196","8","$209,900","3","2 (2 0)","1,737","0.2660","94","KWSW01"
"15042506","S","09/22/2015","RESI","1122 Folger Ave","Kirkwood","Kirkwood","196","18","$213,000","2","2 (2 0)","1,471","0.1900","83","BHAL02"
"14057013","S","07/28/2015","RESI","11952 Claychester Dr","Des Peres","Des Peres","196","240","$213,500","3","2 (2 0)","2,205","0.5940","62","CODY01"
"15046936","S","09/28/2015","RESI","502 Eastwood","Kirkwood","St Louis","196","2","$214,900","3","2 (2 0)","1,088","0.1850","66","EXSL01"
"15030766","S","08/06/2015","RESI","611 Chelsea Ave","Kirkwood","Kirkwood","196","3","$216,000","2","1 (1 0)","922","","66","RDKY02"
"15035776","S","08/03/2015","RESI","847 Victoria","Glendale","St Louis","196","2","$217,000","2","1 (1 0)","896","0.1820","69","CJJO01"
"15000905","S","08/10/2015","RESI","1224 Dubray Ct","Kirkwood","St Louis","196","66","$217,500","3","2 (2 0)","1,664","0.3220","61","STJM01"
"15043585","S","09/29/2015","RESI","1372 Beverly Ave","Glendale","St Louis","196","28","$220,000","0","4 (0 4)","3,800","0.3560","98","RMXR03"
"15041289","S","08/28/2015","RESI","536 Mclain Lane","Kirkwood","St Louis","196","19","$222,000","2","2 (2 0)","1,249","0.1600","71","RXSB01"
"15046200","S","09/25/2015","RESI","124 Huntleigh Forest","Kirkwood","St Louis","196","4","$225,000","3","2 (2 0)","1,497","0.1720","51","MANN01"
"15027625","S","07/16/2015","RESI","615 Nirk Ave","Kirkwood","Kirkwood","196","18","$226,500","2","2 (2 0)","1,030","0.5000","57","BHAL02"
"15039836","S","08/06/2015","RESI","843 Barby Lane","Kirkwood","Kirkwood","196","3","$227,500","3","2 (2 0)","","0.2340","64","BHSP04"
"15042626","S","09/09/2015","RESI","895 Glen Elm Dr","Glendale","Glendale","196","5","$231,000","2","1 (1 0)","1,114","0.2000","79","WCLK01"
"15035609","S","09/28/2015","RESI","835 North Kirkwood","Kirkwood","St Louis","196","101","$232,000","4","2 (2 0)","","","94","ULTM01"
"15037958","S","08/31/2015","RESI","869 Queen Anne Place","Glendale","Glendale","196","34","$235,000","2","2 (2 0)","1,212","0.1880","70","CBG 15"
