"MLS","St","Status Date","P Type","Address","Municipality Township","City","Area","CDOM","Price","Bedrooms","Bth","Square Footage","Acres","Age","Listing Office ID"
"16037868","S","07/21/2016","RESI","415 Leicester Square","Unincorporated","Ballwin","169","3","$438,900","4","4 (3 1)","2,854","0.1900","23","RDKY03"
"16040999","S","08/09/2016","RESI","12412 Leigh Lane","Maryland Heights","Maryland Heights","166","4","$167,000","3","2 (2 0)","1,361","0.1720","51","RMXS01"
"16028350","S","07/15/2016","RESI","10910 Leighton Ct","Unincorporated","St Louis","151","15","$377,000","5","4 (2 2)","2,026","0.2000","32","RDKY02"
"16050951","S","09/26/2016","RESI","23 Lemay Gardens","Unincorporated","St Louis","331","38","$65,000","2","1 (1 0)","","0.1440","77","RMBC03"
"16034683","S","07/19/2016","RESI","450 Lemondale Lane","Florissant","Florissant","48","12","$99,900","3","2 (2 0)","1,212","0.2010","47","HILB01"
"16042927","S","07/14/2016","RESI","578 lemonwood Dr","Ballwin","Ballwin","348","5","$150,250","3","2 (2 0)","","0.1820","46","WCLK01"
"16053302","S","09/16/2016","RESI","536 Lemonwood Dr","Ballwin","Ballwin","348","8","$189,000","3","2 (2 0)","1,310","0.1850","46","CBG 03"
"16037792","S","07/12/2016","RESI","29 Lemp Dr","Kirkwood","St Louis","196","2","$365,000","4","3 (3 0)","1,856","2.3500","68","BHSP04"
"16041682","S","09/09/2016","RESI","311 Lenhardt","Unincorporated","LeMay","301","27","$65,500","3","1 (1 0)","864","0.0830","54","BHAD01"
"16034904","S","08/16/2016","RESI","5101 Lenox Ave","Shrewsbury","St Louis","271","30","$143,000","2","1 (1 0)","1,055","0.1010","72","MCL 01"
"16053665","S","09/09/2016","RESI","5113 Lenox Ave","Shrewsbury","St Louis","271","5","$117,900","2","1 (1 0)","","0.0880","68","CBG 24"
"16009398","S","08/04/2016","RESI","9301 Leona","Unincorporated","St Louis","271","90","$80,000","2","1 (1 0)","1,128","0.2230","67","CBPR02"
"16042139","S","07/27/2016","RESI","4279 Leonard Dr","Unincorporated","St Louis","316","21","$119,000","3","2 (2 0)","1,456","0.2640","66","GLDR01"
"16044597","S","09/08/2016","RESI","510 Lering Ct","Ballwin","Ballwin","348","43","$351,000","4","3 (2 1)","2,283","0.3500","33","CBPR01"
"16038530","S","09/06/2016","RESI","4131 Les Cherbourg Lane","Unincorporated","Florissant","47","0","$135,000","3","3 (2 1)","1,581","0.2200","34","SBSF01"
"16042510","S","08/24/2016","RESI","617 Lewiston","Kirkwood","St Louis","196","2","$219,900","2","2 (2 0)","","0.2000","69","WBRS01"
"16046127","S","08/25/2016","RESI","624 Lewiston Dr","Kirkwood","St Louis","196","37","$157,500","2","2 (2 0)","1,140","0.1690","70","MADA01"
"15068044","S","07/27/2016","RESI","7103 Lexington Ave","Velda Village Hills","St Louis","106","179","$5,500","3","2 (1 1)","1,696","0.1170","90","DPEV01"
"16049140","S","08/12/2016","RESI","945 Lexington Park","Florissant","Florissant","47","7","$45,000","3","2 (1 1)","1,056","0.2620","55","FOWL01"
"16035372","S","08/26/2016","RESI","880 Lexington Park","Florissant","Florissant","47","80","$44,000","3","1 (1 0)","900","0.1870","56","FOWL01"
