"MLS","St","Status Date","P Type","Address","Municipality Township","City","Area","CDOM","Price","Bedrooms","Bth","Square Footage","Acres","Age","Listing Office ID"
"20006298","S","02/28/2020","RESI","3406 Royalton Ave","Breckenridge Hills","St Louis","91","2","$20,100","2","2 (2 0)","660","0.1440","72","RMXR05"
"19077914","S","03/19/2020","RESI","3919 Rue De Renard","Unincorporated","Florissant","47","104","$130,900","3","2 (2 0)","1,482","0.2180","41","BHSP13"
"19053802","S","03/26/2020","RESI","1132 Rue La Ville Walk #1132 ","Creve Coeur","St Louis","166","198","$95,000","1","1 (1 0)","820","0.0488","53","KWSW01"
"20009396","S","03/12/2020","RESI","9121 Rusticwood Trail","Crestwood","St Louis","316","28","$280,000","3","3 (2 1)","1,770","0.2581","49","SLAY01"
"19082347","S","01/29/2020","RESI","105 Ruth","Florissant","Florissant","48","48","$108,000","3","1 (1 0)","912","0.1820","62","FFRR01"
"20007620","S","03/25/2020","RESI","6 Rutherford","Town And Country","Town and Country","168","318","$1,625,000","5","6 (4 2)","5,178","1.0600","9","RDKY02"
"19083255","S","01/03/2020","RESI","118 Rutherglen","Valley Park","Valley Park","181","3","$214,900","3","2 (2 0)","1,144","0.0950","32","LVLP01"
"19078048","S","01/13/2020","RESI","525 Ruthland Dr","Unincorporated","St Louis","331","44","$124,000","2","1 (1 0)","875","0.1230","82","KWSW01"
"19084436","S","02/27/2020","RESI","544 Ruthland Dr","Unincorporated","St Louis","331","103","$122,900","2","1 (1 0)","962","0.0930","85","POWR"
"20004418","S","03/03/2020","RESI","532 Ruthland Dr","Unincorporated","St Louis","331","36","$125,000","2","1 (1 0)","860","0.1220","75","PMIR02"
"19060871","S","02/10/2020","RESI","545 Ryan","Florissant","Florissant","48","129","$107,000","3","2 (1 1)","962","0.1850","60","BHSP13"
"19085999","S","02/24/2020","RESI","490 Ryan","Florissant","Florissant","48","23","$124,000","3","2 (1 1)","1,187","0.1820","58","KWRC01"
"19067602","S","03/31/2020","RESI","6780 Ryan Crest","Unincorporated","Florissant","47","31","$190,000","4","3 (2 1)","2,626","0.4140","53","WBRS01"
"20003299","S","01/07/2020","RESI","222 S Van Buren Ave","Kirkwood","St Louis","196","0","$879,900","5","5 (5 0)","4,106","0.2960","17","BHSP02"
"19073495","S","02/12/2020","RESI","3130 Sabrina Lane","Unincorporated","Florissant","47","123","$105,000","3","2 (1 1)","1,040","0.1460","44","KCRL01"
"19081659","S","02/05/2020","RESI","2 Saddle Creek","Clarkson Valley","Chesterfield","348","13","$625,000","4","5 (4 1)","2,914","2.4600","42","KWRC01"
"19091183","S","02/10/2020","RESI","2119 Saddle Creek Ridge Ct","Wildwood","Wildwood","348","305","$875,000","5","5 (4 1)","4,932","1.2100","15","DIEL01"
"20006934","S","03/26/2020","RESI","2562 Saddle Ridge Dr","Unincorporated","Florissant","47","35","$116,000","3","2 (2 0)","1,189","0.1650","48","CBG 05"
"19070320","S","01/21/2020","RESI","164 Saddleford Dr","Chesterfield","Chesterfield","167","114","$317,000","4","3 (3 0)","2,632","0.3143","55","BHAL05"
"19085651","S","02/20/2020","RESI","12729 Saddlemaker Ct","Maryland Heights","Maryland Heights","166","43","$220,100","4","2 (2 0)","1,332","0.1950","53","MAGN01"
"19080383","S","01/06/2020","RESI","258 Sadonia Ave","Hazelwood","St Louis","63","54","$40,000","3","2 (2 0)","1,008","","54","CLRG01"
"19061714","S","02/11/2020","RESI","7842 Sagebrook","Unincorporated","St Louis","332","128","$254,000","3","3 (2 1)","1,748","0.1900","8","OWAI01"
"19087818","S","01/03/2020","RESI","1108 Sagebrush","Ellisville","Ballwin","348","0","$185,000","3","2 (2 0)","1,592","0.2760","53","PRGR01"
"20007623","S","03/11/2020","RESI","1080 Sagebrush Trail","Ellisville","Ballwin","348","2","$269,900","3","3 (3 0)","1,669","0.3280","52","SAPR01"
"19082084","S","01/16/2020","RESI","245 West Saint Anthony Lane","Florissant","Florissant","64","33","$112,500","3","1 (1 0)","1,050","0.2120","65","CBG 05"
"19082122","S","03/03/2020","RESI","105 Saint Anthony","Florissant","Florissant","64","120","$93,900","3","2 (2 0)","840","0.2390","66","CBG 05"
"19089927","S","03/03/2020","RESI","35 West Saint Anthony Lane","Florissant","Florissant","64","11","$110,900","3","2 (1 1)","1,092","0.1720","65","CBG 31"
"20006675","S","03/03/2020","RESI","10688 Saint Augustine","St. Ann","St Ann","76","1","$90,000","2","1 (1 0)","792","0.1720","70","CBG 06"
"19033352","S","02/11/2020","RESI","3519 Saint Blase Lane","St. Ann","St Ann","91","279","$80,000","3","2 (1 1)","1,360","0.1720","66","KCRL01"
"20001042","S","02/14/2020","RESI","1920 Saint Catherine","Florissant","Florissant","64","9","$110,000","3","2 (1 1)","1,040","0.2730","64","JNAH01"
"19079061","S","01/16/2020","RESI","4333 Saint Cecelia Lane","St. Ann","St Ann","76","83","$64,000","3","1 (1 0)","965","0.1380","69","BHSP09"
"20014646","S","02/21/2020","RESI","17 Saint Celeste","Florissant","Florissant","64","0","$95,000","3","1 (1 0)","1,116","0.1510","70","NBRT01"
"20009449","S","03/17/2020","RESI","6 Saint Charles","Shrewsbury","St Louis","256","6","$136,000","2","2 (2 0)","1,363","0.1190","84","RLXG01"
"20008119","S","03/27/2020","RESI","210 Saint Cheryl Lane","Florissant","Florissant","64","5","$110,000","3","2 (2 0)","864","0.1720","65","CBPR01"
"20000663","S","03/13/2020","RESI","590 Saint Christina","Florissant","Florissant","64","0","$100,000","2","2 (1 1)","864","0.1750","65","WCLK01"
"20010164","S","03/05/2020","RESI","3547 Saint Christopher Lane","St. Ann","St Ann","91","1","$47,000","2","1 (1 0)","784","0.1260","78","CMKL01"
"19061757","S","02/10/2020","RESI","2236 Saint Clair Ave","Brentwood","St Louis","211","130","$299,000","3","3 (2 1)","1,414","0.1400","35","RDKY02"
"19079933","S","02/19/2020","RESI","2116 Saint Clair Ave","Brentwood","St Louis","211","73","$482,500","3","3 (2 1)","2,385","0.1700","19","MANN01"
"20000841","S","02/27/2020","RESI","11252 Saint Clement","St. Ann","St Ann","76","53","$75,000","3","1 (1 0)","825","0.1380","70","CBG 05"
