"MLS","St","Status Date","P Type","Address","Municipality Township","City","Area","CDOM","Price","Bedrooms","Bth","Square Footage","Acres","Age","Listing Office ID"
"17060674","S","10/06/2017","RESI","821 1st St","Twin Oaks","Valley Park","181","9","$75,500","2","1 (1 0)","872","0.3100","68","AMRG01"
"17049269","S","10/17/2017","RESI","1468 78th St","University City","St Louis","136","9","$42,000","4","2 (2 0)","1,434","0.1330","66","XELT01"
"17065663","S","11/13/2017","RESI","15646 92nd Ave","Unincorporated","Florissant","47","35","$144,000","4","3 (3 0)","1,650","0.1960","38","AMCN01"
"17063367","S","10/25/2017","RESI","15668 93rd Ave","Unincorporated","Florissant","47","34","$125,000","3","3 (3 0)","1,178","0.1960","39","CBG 06"
"17060643","S","12/15/2017","RESI","15648 94TH AVENUE","Unincorporated","Florissant","47","190","$177,000","3","3 (2 1)","2,318","0.3200","31","BHAL14"
"17059340","S","10/10/2017","RESI","2793 Aberdeen Dr","Unincorporated","Florissant","64","7","$105,500","3","2 (2 0)","1,344","0.1870","53","CMFT01"
"17056410","S","10/20/2017","RESI","3063 Aberdeen Dr","Unincorporated","Florissant","64","51","$127,500","4","2 (2 0)","1,640","0.1900","52","CBG 31"
"17069736","S","10/31/2017","RESI","24 Aberdeen Place","Clayton","Clayton","226","38","$650,000","5","5 (3 2)","3,213","0.1840","96","DIEL01"
"17079384","S","10/31/2017","RESI","836 Abston Ave","Ferguson","St Louis","63","21","$18,000","2","1 (1 0)","768","0.1490","83","FOWL01"
"17058353","S","12/18/2017","RESI","503 Abston Ave","Ferguson","St Louis","64","129","$20,495","2","2 (1 1)","808","0.2070","63","CRTN01"
"17086296","S","12/15/2017","RESI","4474 Acacia Rd","Wildwood","Wildwood","346","7","$240,000","2","2 (2 0)","1,415","1.9820","63","BHAL14"
"17074565","S","10/27/2017","RESI","1034 Accent Dr","Unincorporated","St Louis","166","2","$183,000","3","2 (2 0)","1,360","0.2400","57","WREN02"
"17044782","S","12/04/2017","RESI","5705 Acme Ave","Jennings","St Louis","16","148","$15,000","2","1 (1 0)","","0.2080","68","EAPR01"
"17086398","S","12/18/2017","RESI","1235 Acredale Dr","Florissant","Florissant","64","2","$87,000","3","1 (1 0)","960","0.1760","60","UNSL01"
"17068346","S","10/30/2017","RESI","415 West Adams Ave","Kirkwood","Kirkwood","196","33","$215,500","2","2 (2 0)","","0.1890","66","BHSP04"
"17072505","S","11/27/2017","RESI","660 East Adams Ave","Kirkwood","Kirkwood","196","0","$292,000","2","2 (2 0)","1,554","0.1327","79","CBG 24"
"17080794","S","12/15/2017","RESI","650 East Adams Ave","Kirkwood","St Louis","196","11","$280,000","3","2 (2 0)","1,313","0.1530","81","CBG 32"
"17063700","S","10/06/2017","RESI","1224 Addison","Bellefontaine Neighbors","St Louis","31","7","$50,000","3","1 (1 0)","1,192","0.1520","64","SLMR01"
"17062556","S","11/24/2017","RESI","408 Adrian","Riverview","St Louis","31","70","$9,500","3","2 (2 0)","1,400","0.1760","118","REOX01"
"17061021","S","12/08/2017","RESI","9861 Affton","Unincorporated","St Louis","271","87","$151,000","4","3 (3 0)","2,207","0.2250","77","CRTN01"
"17059325","S","11/16/2017","RESI","14033 Agusta Dr","Chesterfield","Chesterfield","167","60","$293,500","4","2 (2 0)","1,857","0.4340","53","AGNC01"
"17085439","S","11/30/2017","RESI","7530 Ahern Ave","University City","St Louis","136","1","$139,900","2","1 (1 0)","888","0.1500","79","BHAL02"
"17079750","S","11/29/2017","RESI","2222 Aileswood","Unincorporated","St Louis","332","2","$250,000","4","3 (3 0)","1,563","0.1940","41","SWEG01"
"17059926","S","10/19/2017","RESI","827 Airport Rd","Ferguson","St Louis","63","13","$29,900","3","1 (1 0)","945","0.1600","80","RLXG01"
"17072713","S","11/30/2017","RESI","38 Airshire Place","Hazelwood","Hazelwood","48","39","$129,900","3","2 (1 1)","1,266","0.4890","59","BHSP05"
"17071929","S","10/25/2017","RESI","3423 Airway Ave","Breckenridge Hills","St Louis","91","10","$20,600","2","1 (1 0)","676","0.1260","79","REOX01"
"17085831","S","12/08/2017","RESI","3433 Airway Ave","Breckenridge Hills","St Louis","91","26","$30,000","3","1 (1 0)","836","0.1260","78","CBG 06"
"17061153","S","10/26/2017","RESI","1119 Albany","Webster Groves","St Louis","256","67","$527,500","4","4 (3 1)","2,771","0.1900","18","KWSW01"
"17031794","S","10/24/2017","RESI","16820 Albers Pointe Ct. Ct","Unincorporated","Florissant","47","140","$318,500","4","4 (3 1)","","0.3840","4","PLPR01"
"17089564","S","12/14/2017","RESI","5630 Albia Terr","Jennings","St Louis","16","21","$17,500","3","2 (1 1)","988","0.1540","62","CBG 06"
"17015907","S","10/06/2017","RESI","7917 Alert","Hanley Hills","St Louis","106","217","$35,000","2","1 (1 0)","792","0.1400","69","RERR01"
"17084479","S","12/04/2017","RESI","419 Alfred Ave","Kirkwood","St Louis","196","6","$240,900","4","3 (2 1)","1,230","0.1720","54","CBG 25"
"17069353","S","10/27/2017","RESI","418 Algonquin Dr","Ballwin","Ballwin","168","4","$334,900","4","2 (2 0)","2,044","0.3960","55","CBG 11"
"17074857","S","11/13/2017","RESI","406 Algonquin Dr","Ballwin","Ballwin","168","18","$385,000","4","2 (2 0)","2,446","0.3410","56","BHAL05"
"17061973","S","11/17/2017","RESI","479 Algonquin Place","Webster Groves","Webster Groves","256","9","$597,500","4","3 (2 1)","2,744","0.3760","96","BHAD02"
"17070480","S","12/22/2017","RESI","6833 Aliceton Ave","Unincorporated","St Louis","271","53","$165,000","4","2 (1 1)","1,500","0.1870","78","DIFR01"
