"MLS","St","Status Date","P Type","Address","Municipality Township","City","Area","CDOM","Price","Bedrooms","Bth","Square Footage","Acres","Age","Listing Office ID"
"19083511","S","01/10/2020","RESI","1090 5th Plaza","Florissant","Florissant","47","20","$135,000","4","2 (2 0)","912","0.1760","55","CHAR01"
"20007082","S","03/04/2020","RESI","665 5th Plaza","Florissant","Florissant","47","4","$80,000","3","2 (1 1)","936","0.1730","60","JRET"
"19081563","S","01/03/2020","RESI","1264 82nd Blvd","University City","St Louis","136","26","$50,000","2","1 (1 0)","825","0.1380","71","ADVT01"
"19090941","S","03/11/2020","RESI","4120 91st Ave","Unincorporated","Florissant","47","70","$128,500","3","3 (3 0)","1,243","0.2030","40","WHMR01"
"19084109","S","01/29/2020","RESI","15675 93rd Ave","Unincorporated","Florissant","47","6","$95,000","4","3 (3 0)","1,875","0.1900","41","CBG 32"
"20002053","S","02/19/2020","RESI","85 Aberdeen Place","Clayton","Clayton","226","1","$889,900","4","4 (3 1)","3,473","0.2300","93","MCAR01"
"19078182","S","03/25/2020","RESI","5254 Abington Rd","Black Jack","Black Jack","47","77","$149,900","4","2 (2 0)","1,893","0.1818","55","BLGR01"
"20006010","S","03/06/2020","RESI","4350 Acacia","Wildwood","Wildwood","346","4","$410,000","4","3 (3 0)","2,148","3.2800","33","HMBD01"
"20004721","S","03/16/2020","RESI","8733 Acacia","Jennings","St Louis","16","32","$19,000","4","1 (1 0)","1,123","0.1200","78","RMXR01"
"19084323","S","01/22/2020","RESI","8310 Acorn Ave","Unincorporated","St Louis","271","16","$135,000","3","1 (1 0)","960","0.0850","56","LURG01"
"20002499","S","03/19/2020","RESI","1978 Acorn Trail","Hazelwood","Florissant","48","50","$213,000","3","3 (2 1)","1,812","0.2100","38","KWRC01"
"20002325","S","02/11/2020","RESI","1020 Active Dr","Unincorporated","St Louis","166","1","$225,000","3","3 (2 1)","1,190","0.2290","59","CBG 12"
"19067941","S","02/28/2020","RESI","2529 Ada Ave","Jennings","St Louis","16","169","$15,200","3","2 (2 0)","1,183","","64","BNDR01"
"20000064","S","02/24/2020","RESI","1797 West Adams Ave","Kirkwood","St Louis","196","49","$447,000","3","3 (2 1)","2,208","1.0000","24","CBPR01"
"20002658","S","03/04/2020","RESI","3642 Adie","St. Ann","St Ann","76","74","$99,900","3","2 (2 0)","1,150","0.3330","72","MADA01"
"20007433","S","03/20/2020","RESI","4016 Affirmed Dr","Unincorporated","Florissant","47","46","$270,000","3","2 (2 0)","2,703","0.2600","30","CBG 06"
"19076767","S","03/27/2020","RESI","8715 Agate","Jennings","St Louis","16","116","$65,000","3","2 (2 0)","2,090","0.2670","120","REED"
"19079756","S","01/10/2020","RESI","7561 Ahern Ave","University City","University City","136","48","$120,000","2","2 (2 0)","1,344","0.2200","70","CBPR01"
"19055184","S","02/18/2020","RESI","7447 Ahern Ct","University City","St Louis","136","178","$172,000","3","2 (2 0)","1,350","0.1650","66","RRSC01"
"19087603","S","01/14/2020","RESI","2420 Akins","Jennings","St Louis","16","11","$28,000","2","1 (1 0)","1,036","0.1440","83","RLXG01"
"20004322","S","03/23/2020","RESI","6309 Alamo Ave","Clayton","St Louis","226","31","$447,500","3","2 (2 0)","1,728","0.1310","99","MADA01"
"19074380","S","01/22/2020","RESI","350 Albert Dr","Florissant","Florissant","48","67","$100,500","3","2 (2 0)","1,290","0.1910","56","WCLK01"
"20001789","S","02/18/2020","RESI","7931 Aldershot Dr","Marlborough","St Louis","271","2","$139,900","2","1 (1 0)","875","0.1580","66","CBG 32"
"20009863","S","03/27/2020","RESI","894 Alexandra Ave","Glendale","Kirkwood","196","35","$340,000","3","2 (1 1)","1,467","0.1720","80","KWRC01"
