"MLS","St","Status Date","P Type","Address","Municipality Township","City","Area","CDOM","Price","Bedrooms","Bth","Square Footage","Acres","Age","Listing Office ID"
"17040837","S","05/11/2017","RESI","2615 Rockford Ave","Rock Hill","St Louis","256","0","$81,795","1","1 (1 0)","","0.0750","88","BHSP04"
"17039258","S","06/20/2017","RESI","7111 Rockhaven Lane","Unincorporated","Affton","271","3","$163,500","3","3 (1 2)","1,064","0.2497","58","BHAD02"
"17015177","S","04/12/2017","RESI","705 Rockhurst","Manchester","Ballwin","169","4","$147,500","4","3 (2 1)","1,244","0.3070","56","REMV01"
"16085702","S","04/04/2017","RESI","5116 Rockingham","Ferguson","St Louis","65","25","$28,000","3","2 (2 0)","1,234","0.1860","61","ALXD01"
"17040784","S","05/11/2017","RESI","1053 Rockman","Rock Hill","St Louis","256","0","$72,477","1","1 (1 0)","","0.1490","79","BHSP04"
"17034786","S","06/09/2017","RESI","1044 Rockman Place","Rock Hill","St Louis","256","3","$192,000","2","2 (2 0)","1,053","0.1780","59","BHAL02"
"17032129","S","06/08/2017","RESI","15448 Rockmoor Dr","Chesterfield","Chesterfield","167","4","$282,000","3","2 (2 0)","1,748","0.2110","44","RXSB01"
"16071105","S","06/20/2017","RESI","15 Rockwood Forest Glen","Wildwood","Wildwood","346","174","$416,250","4","3 (2 1)","2,741","3.0000","39","CBG 32"
"17027966","S","06/06/2017","RESI","47 Rockwood Forest Hill","Wildwood","Eureka","346","15","$519,900","5","5 (4 1)","3,078","3.1400","41","BHAL05"
"17033324","S","06/05/2017","RESI","15 Rockwood Place Ct","Eureka","Eureka","346","16","$243,000","4","3 (2 1)","1,946","0.1700","23","BHAD02"
"17007879","S","06/15/2017","RESI","14489 Rogue River","Chesterfield","Chesterfield","167","28","$363,000","4","3 (2 1)","2,748","0.3550","47","BHAL05"
"17026073","S","06/15/2017","RESI","14551 Rogue River Dr","Chesterfield","Chesterfield","167","32","$325,000","3","3 (3 0)","1,713","0.2760","47","BHAL05"
"17011556","S","05/09/2017","RESI","7024 Rohn Dr","Northwoods","St Louis","106","26","$50,000","2","1 (1 0)","875","0.1130","65","BHSP13"
"17007931","S","05/03/2017","RESI","46 Roland Ave","Ballwin","Ballwin","348","3","$207,000","3","3 (2 1)","1,189","0.2930","42","BHAL02"
"16081262","S","05/16/2017","RESI","4000 Roland Blvd","Pasadena Hills","St Louis","106","109","$144,000","4","2 (2 0)","2,495","0.1470","64","MADA01"
"16075275","S","06/14/2017","RESI","3953 Roland Blvd","Pasadena Hills","Pasadena Hills","106","195","$217,500","4","3 (2 1)","2,525","0.3200","88","CBG 04"
"17004761","S","04/28/2017","RESI","419 Rolling View Rd","Creve Coeur","St Louis","167","79","$1,045,000","4","6 (4 2)","4,004","1.0100","27","CBG 11"
"17008482","S","04/04/2017","RESI","9448 Romaine Ave","Overland","St Louis","91","20","$29,101","2","1 (1 0)","","0.1440","63","BKOR01"
"17043149","S","06/22/2017","RESI","145 Romine Cir","Ballwin","Ballwin","348","6","$180,000","3","3 (2 1)","1,433","0.2840","60","RMXR04"
"16076830","S","05/12/2017","RESI","3143 Ronald Dr","St. Ann","St Ann","91","151","$60,000","3","1 (1 0)","963","0.3000","76","CBG 05"
"17018393","S","05/12/2017","RESI","10 Ronda","Florissant","Florissant","48","9","$59,500","3","2 (1 1)","1,120","0.3000","56","GLDR01"
"16051542","S","05/08/2017","RESI","17055 Rooster Ridge","Chesterfield","Chesterfield","348","285","$206,100","4","3 (2 1)","","3.1400","40","EXER01"
"17008034","S","04/20/2017","RESI","8674 Rosalie Ave","Brentwood","Brentwood","211","14","$369,000","3","2 (2 0)","1,685","0.1670","79","BHGR01"
"17025134","S","05/26/2017","RESI","8534 Rosalie Ave","Brentwood","St Louis","211","3","$255,000","3","2 (2 0)","1,340","0.1410","79","CBG 11"
"17029248","S","06/01/2017","RESI","8531 Rosalie Ave","Brentwood","Brentwood","211","3","$280,000","2","2 (1 1)","1,075","0.1690","77","BHAL02"
"17030098","S","06/16/2017","RESI","8426 Rosalind","St. John","St Louis","91","47","$50,500","4","2 (2 0)","1,088","0.1980","67","STLB01"
"17016258","S","04/06/2017","RESI","40 West Rose Ave","Webster Groves","St Louis","256","5","$206,000","3","2 (2 0)","","0.1730","68","MADA01"
"17026257","S","05/11/2017","RESI","46 West Rose Ave","Webster Groves","Webster Groves","256","4","$235,500","3","2 (2 0)","1,068","0.1760","67","MADA01"
"17009012","S","04/14/2017","RESI","1714 Rose Crest Dr","Hazelwood","Hazelwood","48","17","$106,000","3","2 (1 1)","972","0.1780","57","PLTM01"
"17027952","S","05/22/2017","RESI","729 Rose Haven","Unincorporated","St Louis","169","6","$432,000","4","3 (2 1)","3,058","0.3100","13","MCFE01"
"17031801","S","06/30/2017","RESI","2316 Rosegarden","Unincorporated","St Louis","331","19","$120,000","3","2 (2 0)","1,251","0.1940","52","RLXG01"
"17009220","S","05/12/2017","RESI","2637 Roseland","Maplewood","St Louis","241","12","$473,000","4","4 (3 1)","3,276","0.3930","133","MADA01"
"16069334","S","04/05/2017","RESI","210 Rosemont Ave","Webster Groves","Webster Groves","256","125","$1,040,000","5","5 (3 2)","5,250","0.5600","118","KWSW01"
"16062247","S","06/09/2017","RESI","12047 Rosevalley Lane","Unincorporated","St Louis","46","200","$95,000","3","2 (2 0)","1,344","0.1820","46","MORE01"
"17035044","S","06/22/2017","RESI","11905 Rosevalley Lane","Unincorporated","St Louis","46","11","$51,504","3","2 (2 0)","","0.1940","42","OWNC01"
"17023228","S","06/14/2017","RESI","11938 Roseview","Unincorporated","St Louis","46","64","$62,000","4","2 (2 0)","1,396","0.2179","52","AMEE01"
"17011078","S","04/24/2017","RESI","609 Rosewood Lane","Kirkwood","St Louis","196","9","$193,900","2","2 (1 1)","","0.1800","64","MADA01"
"17022443","S","04/28/2017","RESI","9456 Roslan Place","St. John","St Louis","91","16","$20,000","2","1 (1 0)","949","0.1570","73","DCKI01"
"16076221","S","06/29/2017","RESI","960 Ross Ave","Unincorporated","St Louis","166","181","$176,000","3","2 (2 0)","1,492","0.2500","55","ALXD01"
"17019977","S","05/10/2017","RESI","1727 Rosslare Ct","Manchester","Manchester","169","19","$367,500","3","4 (3 1)","2,620","0.3000","35","RDKY03"
"17041348","S","06/30/2017","RESI","12514 Roth Hill Dr","Maryland Heights","Maryland Heights","166","4","$184,900","4","2 (1 1)","816","0.1910","53","CBG 31"
"17028100","S","05/31/2017","RESI","1775 Round Robin Ct","Unincorporated","St Louis","166","6","$188,000","3","3 (2 1)","1,429","0.2850","47","RMXS01"
"17005620","S","05/30/2017","RESI","14697 Rouvre","Unincorporated","Florissant","47","4","$157,900","3","3 (3 0)","2,310","0.3160","44","SNRE"
"17014448","S","04/06/2017","RESI","1105 Roxbury Dr","Unincorporated","St Louis","331","5","$125,000","2","2 (2 0)","1,026","0.2130","63","BHSP04"
"17022478","S","05/25/2017","RESI","2969 Royal Gorge Lane","Unincorporated","St Louis","331","4","$205,000","3","2 (2 0)","1,278","0.2610","31","RMXG01"
"17002759","S","04/28/2017","RESI","114 Royal Oaks Dr","Ballwin","Ballwin","348","4","$240,000","3","3 (3 0)","1,771","0.2660","50","KWRC01"
"17032366","S","06/30/2017","RESI","2926 Royal Seasons Dr","Unincorporated","St Louis","332","28","$290,000","4","3 (2 1)","2,486","0.2800","28","RMXR01"
"17016198","S","05/31/2017","RESI","348 Royal Valley Dr","Creve Coeur","Creve Coeur","166","116","$297,500","4","4 (3 1)","2,129","0.3580","40","CBG 32"
"17043814","S","06/23/2017","RESI","426 Royal Village Dr","Manchester","Ballwin","168","6","$245,000","3","3 (2 1)","1,928","0.4100","34","CBG 04"
"17015094","S","04/13/2017","RESI","14926 Royalbrook Dr","Chesterfield","Chesterfield","168","2","$399,900","4","4 (3 1)","2,027","0.3100","32","EDGE01"
"17028283","S","05/10/2017","RESI","3250 Royalton Ave","Breckenridge Hills","St Louis","91","137","$11,000","3","1 (1 0)","1,280","0.2020","98","RLXG01"
"17009088","S","04/28/2017","RESI","339 Royce Dr","Ferguson","St Louis","63","54","$25,500","2","1 (1 0)","875","0.1870","62","FOWL01"
"17015446","S","04/05/2017","RESI","629 Rue De Fleur Dr","Creve Coeur","St Louis","166","21","$349,000","4","3 (2 1)","2,497","0.2690","49","BHSP09"
"17040224","S","06/28/2017","RESI","1909 Rule Ave","Maryland Heights","Maryland Heights","166","6","$236,000","3","3 (3 0)","","0.2010","41","CBG 04"
"17022762","S","05/19/2017","RESI","12183 Rule Place Lane","Maryland Heights","Maryland Heights","76","3","$345,000","5","3 (2 1)","2,748","0.2000","19","CBG 05"
"17011809","S","04/13/2017","RESI","7485 Rupert Ave","Richmond Heights","St Louis","241","3","$313,000","3","3 (3 0)","1,473","0.1500","77","MADA01"
"17013233","S","04/11/2017","RESI","1349 Rusticview Dr","Unincorporated","Ballwin","168","1","$375,000","4","3 (2 1)","2,362","0.2620","41","PLAT01"
"17010502","S","04/26/2017","RESI","95 Ruth","Florissant","Florissant","48","73","$87,500","4","2 (2 0)","","0.1820","60","PREM01"
"17036548","S","06/12/2017","RESI","65 Ruth Dr","Florissant","Florissant","48","6","$82,000","3","2 (1 1)","912","0.1820","59","CWIL01"
"17014974","S","05/11/2017","RESI","4101 Rutherford Dr","Unincorporated","Mehlville","331","33","$120,000","3","1 (1 0)","1,206","0.2060","","JCBS01"
"17004635","S","04/11/2017","RESI","541 Ruthland","Unincorporated","St Louis","331","29","$140,000","2","2 (1 1)","1,209","0.1100","77","REMV01"
"17017990","S","04/18/2017","RESI","400 Ruthland Dr","Unincorporated","St Louis","331","5","$125,000","2","1 (1 0)","","0.1190","80","KWSW01"
"17018388","S","05/11/2017","RESI","408 Ruthland","Unincorporated","St Louis","331","11","$130,500","2","1 (1 0)","1,060","0.1100","81","SLRE02"
"17043543","S","06/23/2017","RESI","679 Ruthwood Dr","Ballwin","Ballwin","168","0","$295,000","4","3 (3 0)","2,429","0.3210","51","MRBA01"
"17008914","S","04/14/2017","RESI","14859 Rutland Cir","Chesterfield","Chesterfield","167","13","$377,000","4","4 (3 1)","2,042","0.2610","41","BHGR01"
"17006946","S","04/28/2017","RESI","4738 Rutledge Way Dr","Unincorporated","St Louis","331","54","$275,000","3","4 (2 2)","2,544","0.2000","14","CBG 14"
"17015119","S","06/28/2017","RESI","45 Rye Lane","Olivette","Olivette","151","71","$540,000","4","4 (3 1)","2,612","0.2070","83","DIEL01"
"17004518","S","06/27/2017","RESI","8917 S Grand Ave","Unincorporated","LeMay","301","77","$80,000","3","1 (1 0)","1,037","0.1880","128","EXSL02"
"17021142","S","05/10/2017","RESI","4402 Saddleridge Estates","Unincorporated","St Louis","332","2","$245,000","3","2 (2 0)","1,776","0.1570","15","CBG 49"
"17036166","S","06/26/2017","RESI","4435 Saddleridge Estates","Unincorporated","St Louis","332","12","$230,000","3","3 (2 1)","1,294","0.1310","15","CBG 18"
