"MLS","St","Status Date","P Type","Address","Municipality Township","City","Area","CDOM","Price","Bedrooms","Bth","Square Footage","Acres","Age","Listing Office ID"
"20017190","S","04/29/2020","RESI","5021 Michael Ave","Shrewsbury","St Louis","271","18","$198,000","3","1 (1 0)","1,650","0.1420","72","PLAT01"
"20033266","S","06/22/2020","RESI","5104 Michael Ave","Shrewsbury","St Louis","271","","$190,250","2","2 (2 0)","840","0.1140","","WCLK01"
"20024328","S","06/01/2020","RESI","15 Middlesex Dr","Brentwood","St Louis","211","3","$649,000","3","3 (2 1)","2,451","0.2510","69","BHAL02"
"20007241","S","05/19/2020","RESI","1122 Midiron Ave","University City","St Louis","136","31","$122,600","0","1 (1 0)","1,147","0.2090","65","MOCR01"
"19084364","S","04/15/2020","RESI","9729 Midland","Overland","St Louis","91","127","$59,900","2","1 (1 0)","504","0.1360","80","STRA01"
"20030373","S","06/29/2020","RESI","8383 Midland","Unincorporated","St Louis","106","13","$124,900","2","2 (2 0)","1,130","0.1900","69","WCLK01"
"20030616","S","06/03/2020","RESI","10922 Midland Ridge Dr","Unincorporated","St Louis","76","1","$122,000","3","2 (2 0)","988","0.2020","54","EXRT01"
"20014065","S","04/16/2020","RESI","325 Midlothian Rd","Unincorporated","St Louis","31","8","$3,500","3","1 (1 0)","1,200","0.1460","67","HYBR01"
"20019536","S","06/30/2020","RESI","8530 Midwood Ave","Berkeley","St Louis","63","50","$95,000","3","2 (2 0)","1,288","0.1790","65","ARSS01"
"20002105","S","05/07/2020","RESI","1709 Milboro Ct","Ladue","Ladue","151","56","$660,000","3","3 (2 1)","2,046","1.1000","47","BHSP09"
"20031321","S","06/16/2020","RESI","1579 Milbridge Dr","Chesterfield","Chesterfield","167","2","$364,400","3","4 (3 1)","2,015","0.0940","43","BHAL05"
"20025181","S","06/05/2020","RESI","5457 Mild Dr","Unincorporated","St Louis","332","46","$300,000","4","5 (4 1)","2,412","0.4960","55","RMXR04"
"20036652","S","06/30/2020","RESI","5450 Mild","Unincorporated","St Louis","332","7","$199,900","3","3 (3 0)","1,232","0.5010","61","RMXR01"
"20014455","S","05/07/2020","RESI","9643 Mill Hill Lane","Sunset Hills","St Louis","316","57","$1,213,500","4","6 (4 2)","5,164","1.0600","23","PRRS01"
"20028911","S","06/04/2020","RESI","9816 Mill Pass","Edmundson","St Louis","91","3","$123,000","4","2 (2 0)","1,488","0.1570","61","KWRW01"
"20010649","S","04/10/2020","RESI","14636 Mill Spring","Chesterfield","Chesterfield","167","13","$455,000","4","3 (2 1)","2,768","0.3010","41","CBG 32"
"20008677","S","04/17/2020","RESI","1319 Millbay Ct","Unincorporated","St Louis","332","67","$226,500","3","3 (2 1)","1,731","0.0600","14","EXSL01"
"20025383","S","05/13/2020","RESI","9751 Millburn","Unincorporated","St Louis","31","13","$22,100","2","1 (1 0)","816","0.1740","67","TREP01"
"20026844","S","06/15/2020","RESI","1510 Miller Dr","Florissant","Florissant","48","0","$139,900","3","2 (2 0)","1,246","","60","KWSW01"
"20050954","S","06/09/2020","RESI","2113 Millvalley","Unincorporated","Florissant","48","0","$126,000","3","2 (2 0)","1,189","0.1960","49","BCTY01"
"20022737","S","06/26/2020","RESI","9509 West Milton Ave","Overland","St Louis","91","68","$179,900","5","3 (2 1)","2,100","0.4100","110","CBG 32"
"20033582","S","04/27/2020","RESI","9414 Minerva Ave","Overland","St Louis","91","0","$91,500","2","1 (1 0)","936","0.1440","64","BCTY01"
"20025524","S","05/08/2020","RESI","9432 Minerva Ave","Overland","St Louis","91","12","$59,000","2","1 (1 0)","720","0.1440","70","KWSW01"
"20014475","S","04/24/2020","RESI","1417 Mirandy Dr","Unincorporated","St Louis","76","4","$238,000","3","2 (2 0)","1,604","0.1730","47","RDKY02"
"20011623","S","04/20/2020","RESI","1226 Miremont","Unincorporated","Manchester","168","11","$275,000","3","3 (2 1)","2,175","0.2480","56","KWRC01"
"20009634","S","04/07/2020","RESI","9522 Miriam Ave","Overland","St Louis","91","17","$87,500","2","1 (1 0)","782","0.1550","66","CBG 18"
"20024018","S","06/12/2020","RESI","426 Miriam Ave","Kirkwood","Kirkwood","196","5","$765,000","3","3 (3 0)","2,495","0.3100","10","MCAR01"
"20006939","S","05/20/2020","RESI","7059 Mitchell Ave","Richmond Heights","St Louis","241","2","$62,500","1","1 (1 0)","966","0.2124","80","RLXG01"
"20009932","S","06/05/2020","RESI","4072 Mitchford Dr","Unincorporated","St Louis","331","67","$290,116","3","2 (2 0)","1,539","","","NHMR01"
"20007408","S","06/29/2020","RESI","4048 Mitchford Dr","Unincorporated","St Louis","331","106","$277,000","3","2 (2 0)","1,539","0.1430","","NHMR01"
"20017366","S","06/30/2020","RESI","3934 Mitchford Dr","Unincorporated","St Louis","331","11","$291,525","3","3 (2 1)","1,728","0.1630","","NHMR01"
"20015081","S","04/22/2020","RESI","4910 Moccasin Terrace","Unincorporated","St Louis","286","42","$210,000","3","3 (3 0)","1,375","0.1760","52","CBG 07"
"20039375","S","06/30/2020","RESI","2305 Mockingbird Lane","Florissant","Florissant","48","0","$83,000","3","1 (1 0)","1,025","0.2150","60","EXRT01"
"20023770","S","05/14/2020","RESI","7242 Moller Ave","Maplewood","St Louis","241","5","$261,350","3","2 (1 1)","1,377","0.1450","100","DIEL01"
"19054497","S","04/30/2020","RESI","1611 Monaco Dr","Warson Woods","Warson Woods","256","125","$400,000","3","2 (2 0)","1,668","0.3470","63","RMXR04"
"20031936","S","06/11/2020","RESI","449 Monaco Dr","Warson Woods","St Louis","196","0","$535,000","4","3 (3 0)","2,028","0.3160","58","AGNC01"
"20008500","S","04/13/2020","RESI","570 Monceau Dr","Ferguson","St Louis","63","29","$217,000","3","4 (2 2)","2,013","0.3440","56","KWSW01"
