"MLS","St","Status Date","P Type","Address","Municipality Township","City","Area","CDOM","Price","Bedrooms","Bth","Square Footage","Acres","Age","Listing Office ID"
"16028389","S","08/11/2016","RESI","515 Acorn Dr","Crestwood","St Louis","316","62","$142,000","3","1 (1 0)","1,040","0.1670","64","CBG 32"
"16019950","S","08/24/2016","RESI","1200 Acredale","Florissant","Florissant","64","84","$69,900","3","1 (1 0)","960","","62","KWRW01"
"16044258","S","08/10/2016","RESI","334 East Adams Ave","Kirkwood","Kirkwood","196","6","$195,285","4","2 (1 1)","1,616","0.1860","144","JONM01"
"16037747","S","07/20/2016","RESI","1213 Addison","Bellefontaine Neighbors","St Louis","31","22","$40,000","3","1 (1 0)","","0.1380","64","PRRG01"
"16047643","S","09/09/2016","RESI","3333 Adie Rd","St. Ann","St Ann","76","8","$70,000","2","1 (1 0)","1,260","1.4800","73","CBG 05"
"16002701","S","09/29/2016","RESI","3555 Adie","St. Ann","St Ann","76","217","$52,500","3","1 (1 0)","1,144","0.1380","92","GHCK01"
"16035137","S","07/08/2016","RESI","9802 Affton View Ct","Unincorporated","St Louis","331","19","$254,000","4","3 (2 1)","2,400","0.2100","27","CBG 14"
"16046289","S","07/05/2016","RESI","7455 Ahern Ct","University City","St Louis","136","0","$70,000","3","2 (2 0)","1,666","0.1910","62","CBG 11"
"16025268","S","07/15/2016","RESI","7443 Ahern","University City","St Louis","136","156","$79,000","3","2 (1 1)","1,350","0.1650","64","RLXG01"
"16042304","S","08/12/2016","RESI","39 Airshire Place","Hazelwood","Hazelwood","48","18","$114,000","4","2 (2 0)","1,903","0.6190","64","CBPR01"
"16023370","S","07/13/2016","RESI","3038 Airway Ave","Breckenridge Hills","St Louis","91","155","$21,000","2","1 (1 0)","768","0.1630","67","RXGT01"
"16053741","S","09/13/2016","RESI","9 Al Lin Ct","Bridgeton","Bridgeton","76","4","$119,900","2","2 (2 0)","988","0.4590","59","CBG 05"
"16028415","S","09/29/2016","RESI","6362 Alamo Ave","Clayton","Clayton","226","93","$635,000","3","3 (2 1)","","0.1290","95","DIEL01"
"16044486","S","08/19/2016","RESI","860 Albert Ave","Glendale","St Louis","196","4","$400,000","3","3 (3 0)","1,913","0.2340","70","CBPR01"
